citympg,cylinders,displacement,drive,highwaympg,make,model,class,year,transmissiontype,transmissionspeeds,co2emissions
14,6,4.1,2-Wheel Drive,19,Buick,Electra/Park Avenue,Large Cars,1984,Automatic,4,555.4375
14,8,5,2-Wheel Drive,20,Buick,Electra/Park Avenue,Large Cars,1984,Automatic,4,555.4375
18,8,5.7,2-Wheel Drive,26,Buick,Electra/Park Avenue,Large Cars,1984,Automatic,4,484.7619048
21,6,4.3,Rear-Wheel Drive,31,Cadillac,Fleetwood/DeVille (FWD),Large Cars,1984,Automatic,4,424.1666667
14,8,4.1,Rear-Wheel Drive,19,Cadillac,Brougham/DeVille (RWD),Large Cars,1984,Automatic,4,555.4375
18,8,5.7,Rear-Wheel Drive,26,Cadillac,Brougham/DeVille (RWD),Large Cars,1984,Automatic,4,484.7619048
14,8,4.1,Rear-Wheel Drive,19,Cadillac,Brougham/DeVille (RWD),Large Cars,1984,Automatic,4,555.4375
18,4,2.4,2-Wheel Drive,21,Nissan,Pickup 2WD,Pickup,1984,Automatic,3,467.7368421
18,4,2.2,2-Wheel Drive,24,Dodge,Rampage Pickup 2WD,Pickup,1984,Automatic,3,423.1904762
20,4,2,2-Wheel Drive,21,Dodge,Ram 50 Pickup 2WD,Pickup,1984,Automatic,3,444.35
18,4,2,2-Wheel Drive,20,Dodge,Ram 50 Pickup 2WD,Pickup,1984,Automatic,3,467.7368421
18,4,2.6,2-Wheel Drive,19,Dodge,Ram 50 Pickup 2WD,Pickup,1984,Automatic,3,493.7222222
19,4,2.6,2-Wheel Drive,20,Dodge,Ram 50 Pickup 2WD,Pickup,1984,Automatic,3,444.35
18,4,2.3,2-Wheel Drive,22,Ford,Ranger Pickup 2WD,Pickup,1984,Automatic,3,467.7368421
18,4,2,2-Wheel Drive,20,Isuzu,Pickup 2WD,Pickup,1984,Automatic,3,467.7368421
23,4,2.2,2-Wheel Drive,24,Isuzu,Pickup 2WD,Pickup,1984,Automatic,3,424.1666667
20,4,2,2-Wheel Drive,21,Mitsubishi,Truck 2WD,Pickup,1984,Automatic,3,444.35
18,4,2,2-Wheel Drive,20,Mitsubishi,Truck 2WD,Pickup,1984,Automatic,3,467.7368421
18,4,2.6,2-Wheel Drive,19,Mitsubishi,Truck 2WD,Pickup,1984,Automatic,3,493.7222222
19,4,2.6,2-Wheel Drive,20,Mitsubishi,Truck 2WD,Pickup,1984,Automatic,3,444.35
18,4,2,2-Wheel Drive,20,Mazda,B2000/B2200 Pickup 2WD,Pickup,1984,Automatic,3,467.7368421
18,4,2,2-Wheel Drive,24,Chevrolet,S10 Pickup 2WD,Pickup,1984,Automatic,3,444.35
18,4,2.4,2-Wheel Drive,21,Nissan,Pickup 2WD,Pickup,1984,Automatic,3,467.7368421
19,4,2.2,2-Wheel Drive,24,Dodge,Rampage Pickup 2WD,Pickup,1984,Automatic,3,423.1904762
18,4,2,2-Wheel Drive,20,Dodge,Ram 50 Pickup 2WD,Pickup,1984,Automatic,3,467.7368421
18,4,2.6,2-Wheel Drive,19,Dodge,Ram 50 Pickup 2WD,Pickup,1984,Automatic,3,493.7222222
18,4,2.3,2-Wheel Drive,20,Ford,Ranger Pickup 2WD,Pickup,1984,Automatic,3,467.7368421
18,4,2,2-Wheel Drive,24,GMC,S15 Pickup 2WD,Pickup,1984,Automatic,3,444.35
18,4,2,2-Wheel Drive,21,Isuzu,Pickup 2WD,Pickup,1984,Automatic,3,467.7368421
23,4,2.2,2-Wheel Drive,24,Isuzu,Pickup 2WD,Pickup,1984,Automatic,3,424.1666667
18,4,2,2-Wheel Drive,20,Mitsubishi,Truck 2WD,Pickup,1984,Automatic,3,467.7368421
18,4,2.6,2-Wheel Drive,19,Mitsubishi,Truck 2WD,Pickup,1984,Automatic,3,493.7222222
17,4,2,2-Wheel Drive,19,Mazda,B2000/B2200 Pickup 2WD,Pickup,1984,Automatic,3,493.7222222
18,4,2,2-Wheel Drive,24,Chevrolet,S10 Pickup 2WD,Pickup,1984,Automatic,4,444.35
18,4,2,2-Wheel Drive,24,GMC,S15 Pickup 2WD,Pickup,1984,Automatic,4,444.35
21,4,2,2-Wheel Drive,29,Chevrolet,S10 Pickup 2WD,Pickup,1984,Manual,4,370.2916667
19,4,2,2-Wheel Drive,25,Chevrolet,S10 Pickup 2WD,Pickup,1984,Manual,4,423.1904762
26,4,2.2,2-Wheel Drive,31,Chevrolet,S10 Pickup 2WD,Pickup,1984,Manual,4,363.5714286
21,4,2.2,2-Wheel Drive,28,Dodge,Rampage Pickup 2WD,Pickup,1984,Manual,4,386.3913043
21,4,2,2-Wheel Drive,23,Dodge,Ram 50 Pickup 2WD,Pickup,1984,Manual,4,403.9545455
20,4,2,2-Wheel Drive,22,Dodge,Ram 50 Pickup 2WD,Pickup,1984,Manual,4,423.1904762
21,4,2,2-Wheel Drive,25,Ford,Courier Pickup 2WD,Pickup,1984,Manual,4,403.9545455
21,4,2,2-Wheel Drive,28,Ford,Ranger Pickup 2WD,Pickup,1984,Manual,4,370.2916667
25,4,2.2,2-Wheel Drive,28,Ford,Ranger Pickup 2WD,Pickup,1984,Manual,4,391.5384615
19,4,2.3,2-Wheel Drive,24,Ford,Ranger Pickup 2WD,Pickup,1984,Manual,4,423.1904762
17,4,2.3,2-Wheel Drive,22,Ford,Ranger Pickup 2WD,Pickup,1984,Manual,4,467.7368421
21,4,2,2-Wheel Drive,29,GMC,S15 Pickup 2WD,Pickup,1984,Manual,4,370.2916667
19,4,2,2-Wheel Drive,25,GMC,S15 Pickup 2WD,Pickup,1984,Manual,4,423.1904762
26,4,2.2,2-Wheel Drive,31,GMC,S15 Pickup 2WD,Pickup,1984,Manual,4,363.5714286
22,4,2,2-Wheel Drive,28,Isuzu,Pickup 2WD,Pickup,1984,Manual,4,370.2916667
29,4,2.2,2-Wheel Drive,35,Isuzu,Pickup 2WD,Pickup,1984,Manual,4,328.3870968
21,4,2,2-Wheel Drive,23,Mitsubishi,Truck 2WD,Pickup,1984,Manual,4,403.9545455
20,4,2,2-Wheel Drive,22,Mitsubishi,Truck 2WD,Pickup,1984,Manual,4,423.1904762
21,4,2,2-Wheel Drive,25,Mazda,B2000/B2200 Pickup 2WD,Pickup,1984,Manual,4,403.9545455
21,4,2,2-Wheel Drive,26,Chevrolet,S10 Pickup 2WD,Pickup,1984,Manual,4,386.3913043
26,4,2.2,2-Wheel Drive,31,Chevrolet,S10 Pickup 2WD,Pickup,1984,Manual,4,363.5714286
20,4,2,2-Wheel Drive,22,Dodge,Ram 50 Pickup 2WD,Pickup,1984,Manual,4,423.1904762
19,4,2.3,2-Wheel Drive,24,Ford,Ranger Pickup 2WD,Pickup,1984,Manual,4,423.1904762
21,4,2,2-Wheel Drive,26,GMC,S15 Pickup 2WD,Pickup,1984,Manual,4,386.3913043
26,4,2.2,2-Wheel Drive,31,GMC,S15 Pickup 2WD,Pickup,1984,Manual,4,363.5714286
21,4,2,2-Wheel Drive,26,Isuzu,Pickup 2WD,Pickup,1984,Manual,4,386.3913043
20,4,2,2-Wheel Drive,22,Mitsubishi,Truck 2WD,Pickup,1984,Manual,4,423.1904762
